County,Municipality,Maintenance Responsibility,Power Distribution Provider (Service Area),Estimated Premise Count,Estimated Unit Count,Estimated Number of Poles,Estimated Route Miles for Existing Poles per town,Updated Town  Premise #,Updated Town  Unit #,Total Project,Prof Fee Allocation,Construction Allocation,Estimated Construction Cost,Town Portion,Est Make Ready
BERKSHIRE,ALFORD,NGRID,NGrid - MassElectric (Baystate West),342,357,730,21,342,357,1310000,210000,270000,1100000,830000,260000
FRANKLIN,ASHFIELD,VZ,Eversource Energy (Northern Division),815,934,1743,77,815,934,3710000,640000,770000,3070000,2300000,800000
BERKSHIRE,BECKET,EVERSOURCE,Eversource Energy (Northern Division),1823,1862,3560,119,1823,1862,5900000,860000,1290000,5040000,3750000,1000000
HAMPDEN,BLANDFORD,SPLIT,Eversource Energy (Northern Division),587,612,1385,55,587,612,2800000,480000,560000,2320000,1760000,660000
FRANKLIN,CHARLEMONT,NGRID,NGrid - MassElectric (Baystate West),588,671,1783,52,588,671,2670000,430000,530000,2240000,1710000,620000
HAMPSHIRE,CHESTERFIELD,VZ,Eversource Energy (Northern Division),601,618,1320,47,601,618,2400000,390000,500000,2010000,1510000,530000
FRANKLIN,COLRAIN,SPLIT,Eversource Energy (Northern Division),804,908,1802,74,804,908,3550000,610000,690000,2940000,2250000,900000
HAMPSHIRE,CUMMINGTON,VZ,Eversource Energy (Northern Division),463,533,1275,49,463,533,2210000,390000,450000,1820000,1370000,530000
BERKSHIRE,EGREMONT,NGRID,NGrid - MassElectric (Baystate West),920,1034,1837,47,920,1034,2940000,410000,660000,2530000,1870000,600000
BERKSHIRE,FLORIDA,NGRID,NGrid - MassElectric (Baystate West),380,383,1108,36,380,383,1700000,290000,350000,1410000,1060000,350000
HAMPSHIRE,GOSHEN,SPLIT,NGrid - MassElectric (Baystate West),585,636,1324,35,585,636,2150000,320000,450000,1830000,1380000,550000
BERKSHIRE,HANCOCK,EVERSOURCE,Eversource (Northern Division)/Ngrid (Baystate West),682,755,758,30,682,755,2200000,330000,480000,1870000,1390000,340000
FRANKLIN,HAWLEY,VZ,NGrid - MassElectric (Baystate West),198,218,833,28,198,218,1540000,270000,250000,1270000,1020000,390000
FRANKLIN,HEATH,VZ,NGrid - MassElectric (Baystate West),401,403,1563,49,401,403,2240000,380000,440000,1860000,1420000,570000
BERKSHIRE,HINSDALE,EVERSOURCE,Eversource Energy (Northern Division),1043,1259,1202,46,1043,1259,2780000,380000,630000,2400000,1770000,430000
BERKSHIRE,LANESBOROUGH,EVERSOURCE,Eversource Energy (Northern Division),1417,1848,1423,61,1417,1848,3880000,490000,890000,3390000,2500000,590000
FRANKLIN,LEYDEN,VZ,Eversource Energy (Northern Division),334,350,817,34,334,350,1750000,310000,370000,1440000,1070000,370000
HAMPSHIRE,MIDDLEFIELD,EVERSOURCE,Eversource Energy (Northern Division),280,287,781,33,280,287,1590000,270000,310000,1320000,1010000,450000
FRANKLIN,MONROE,NGRID,NGrid - MassElectric (Baystate West),81,88,260,13,81,88,1080000,200000,130000,880000,750000,390000
BERKSHIRE,MONTEREY,NGRID,NGrid - MassElectric (Baystate West),874,994,1900,55,874,994,3100000,460000,680000,2640000,1960000,640000
HAMPDEN,MONTGOMERY,EVERSOURCE,Eversource Energy (Northern Division),360,372,722,27,360,372,1500000,250000,300000,1250000,950000,260000
BERKSHIRE,MOUNT WASHINGTON,NGRID,NGrid - MassElectric (Baystate West),155,180,630,19,155,180,1250000,220000,230000,1030000,800000,280000
BERKSHIRE,NEW ASHFORD,EVERSOURCE,Eversource Energy (Northern Division),107,114,228,12,107,114,700000,130000,150000,570000,420000,110000
WORCESTER,NEW BRAINTREE,NGRID,NGrid - MassElectric (Baystate West),379,400,1510,49,379,400,1910000,340000,380000,1570000,1190000,500000
BERKSHIRE,NEW MARLBOROUGH,NGRID,NGrid - MassElectric (Baystate West),1086,1116,2818,88,1086,1116,4730000,790000,920000,3940000,3020000,1130000
FRANKLIN,NEW SALEM,NGRID,NGrid - MassElectric (Baystate West),464,472,1289,37,464,472,2140000,350000,400000,1790000,1390000,390000
BERKSHIRE,OTIS,VZ,Eversource Energy (Northern Division),1687,1751,2421,80,1687,1751,4870000,690000,1080000,4180000,3100000,980000
BERKSHIRE,PERU,EVERSOURCE,Eversource Energy (Northern Division),427,433,971,33,427,433,1840000,310000,380000,1530000,1150000,280000
WORCESTER,PETERSHAM,NGRID,NGrid - MassElectric (Baystate West),534,713,1561,50,534,713,2530000,420000,460000,2110000,1650000,770000
HAMPSHIRE,PLAINFIELD,VZ,Eversource Energy (Northern Division),347,361,979,41,347,361,1760000,300000,350000,1460000,1110000,450000
WORCESTER,PRINCETON,PRINCETON MUNICIPAL,Princeton Municipal Light Department,1325,1394,2373,74,1325,1394,4400000,640000,910000,3760000,2850000,910000
FRANKLIN,ROWE,NGRID,NGrid - MassElectric (Baystate West),227,249,942,29,227,249,1300000,220000,220000,1080000,860000,360000
WORCESTER,ROYALSTON,VZ,NGrid - MassElectric (Baystate West),651,673,2000,62,651,673,3180000,560000,610000,2620000,2010000,820000
BERKSHIRE,SANDISFIELD,SPLIT,Eversource Energy (Northern Division),687,766,1762,70,687,766,3610000,610000,620000,3000000,2380000,680000
BERKSHIRE,SAVOY,EVERSOURCE,Eversource Energy (Northern Division),372,388,735,34,372,388,1760000,300000,350000,1460000,1110000,280000
FRANKLIN,SHUTESBURY,SPLIT,NGrid - MassElectric (Baystate West),845,881,1350,37,845,881,2440000,360000,510000,2080000,1570000,370000
HAMPDEN,TOLLAND,EVERSOURCE,Eversource Energy (Northern Division),537,566,868,38,537,566,2650000,400000,430000,2250000,1820000,210000
BERKSHIRE,TYRINGHAM,VZ,Eversource Energy (Northern Division),308,338,750,22,308,338,1380000,220000,260000,1160000,900000,350000
FRANKLIN,WARWICK,VZ,NGrid - MassElectric (Baystate West),392,399,1570,47,392,399,2480000,420000,450000,2060000,1610000,600000
BERKSHIRE,WASHINGTON,EVERSOURCE,Eversource Energy (Northern Division),268,269,562,26,268,269,1260000,220000,270000,1040000,770000,240000
FRANKLIN,WENDELL,VZ,NGrid - MassElectric (Baystate West),461,471,1150,43,461,471,1900000,320000,410000,1580000,1170000,440000
BERKSHIRE,WEST STOCKBRIDGE,NGRID,NGrid - MassElectric (Baystate West),827,949,1541,45,827,949,2830000,420000,580000,2410000,1830000,530000
BERKSHIRE,WINDSOR,EVERSOURCE,Eversource Energy (Northern Division),498,510,1310,55,498,510,2150000,380000,450000,1770000,1320000,450000
HAMPSHIRE,WORTHINGTON,VZ,Eversource Energy (Northern Division),635,698,1623,61,635,698,2860000,480000,590000,2380000,1790000,690000
,,,TOTALS,26797,29213,59069,2040,26797,29213,108930000,17470000,22010000,91460000,69450000,23050000
